Image_Count_DetectedNuclei,Image_FileName_CellBody,Image_FileName_Nuclei,Image_ImageQuality_Correlation_CellBody_10,Image_ImageQuality_Correlation_CellBody_2,Image_ImageQuality_Correlation_CellBody_20,Image_ImageQuality_Correlation_CellBody_40,Image_ImageQuality_Correlation_CellBody_5,Image_ImageQuality_Correlation_CellBody_80,Image_ImageQuality_Correlation_Nuclei_10,Image_ImageQuality_Correlation_Nuclei_2,Image_ImageQuality_Correlation_Nuclei_20,Image_ImageQuality_Correlation_Nuclei_40,Image_ImageQuality_Correlation_Nuclei_5,Image_ImageQuality_Correlation_Nuclei_80,Image_ImageQuality_FocusScore_CellBody,Image_ImageQuality_FocusScore_Nuclei,Image_ImageQuality_PowerLogLogSlope_CellBody,Image_ImageQuality_PowerLogLogSlope_Nuclei,Image_Math_ImageQuality_SNR_CellBody,Image_Math_ImageQuality_SNR_Nuclei,Image_Metadata_ActualCellCount,Image_Metadata_BlurFilterSize
1,"SIMCEPImages_A01_C1_F1_s21_w1.TIF","SIMCEPImages_A01_C1_F1_s21_w2.TIF",0.695431,0.979054,0.274115,-0.00248279,0.899937,-0.00264443,0.838695,0.987566,0.627514,0.225425,0.94413,-0.00842249,0.00381923,0.309006,-2.47095,-2.76131,0.165148,0.151235,"1","1"
1,"SIMCEPImages_A01_C1_F1_s20_w1.TIF","SIMCEPImages_A01_C1_F1_s20_w2.TIF",0.672846,0.976747,0.248897,-0.00240611,0.889236,-0.00256275,0.862809,0.98941,0.665715,0.290496,0.953476,-0.0110974,0.00299551,0.390046,-2.38196,-2.83295,0.181599,0.151015,"1","1"
1,"SIMCEPImages_A01_C1_F1_s03_w1.TIF","SIMCEPImages_A01_C1_F1_s03_w2.TIF",0.68376,0.976606,0.292363,-0.00252106,0.888454,-0.00268521,0.829063,0.986341,0.594395,0.154822,0.940622,-0.00685265,0.00232956,0.341666,-2.29858,-2.49395,0.203125,0.140752,"1","1"
1,"SIMCEPImages_A01_C1_F1_s19_w1.TIF","SIMCEPImages_A01_C1_F1_s19_w2.TIF",0.683375,0.976578,0.276031,-0.0024342,0.890013,-0.00259268,0.803276,0.983867,0.582365,0.225377,0.929252,-0.00888622,0.0032636,0.265775,-2.32908,-2.50727,0.17594,0.159842,"1","1"
1,"SIMCEPImages_A01_C1_F1_s07_w1.TIF","SIMCEPImages_A01_C1_F1_s07_w2.TIF",0.670449,0.97399,0.328057,-0.00267705,0.880058,-0.00285138,0.850685,0.987849,0.665259,0.30933,0.946393,-0.0103268,0.0021802,0.390664,-2.2011,-2.50551,0.20997,0.147512,"1","1"
1,"SIMCEPImages_A01_C1_F1_s24_w1.TIF","SIMCEPImages_A01_C1_F1_s24_w2.TIF",0.664103,0.975202,0.255713,-0.0014139,0.884027,0,0.909268,0.991809,0.798998,0.577551,0.966129,0,0.00398938,0.454574,-2.38862,-2.65371,0.162518,0.1484,"1","1"
1,"SIMCEPImages_A01_C1_F1_s23_w1.TIF","SIMCEPImages_A01_C1_F1_s23_w2.TIF",0.673465,0.975509,0.264062,-0.00252538,0.886252,-0.0026898,0.840004,0.987624,0.616846,0.230939,0.944682,-0.0111184,0.00258535,0.352511,-2.29128,-2.75354,0.194835,0.154932,"1","1"
1,"SIMCEPImages_A01_C1_F1_s06_w1.TIF","SIMCEPImages_A01_C1_F1_s06_w2.TIF",0.68827,0.976374,0.31504,-0.0026643,0.891321,-0.00283779,0.847106,0.987746,0.615706,0.195111,0.947711,-0.00975134,0.00257681,0.335603,-2.28516,-2.83614,0.195503,0.152809,"1","1"
1,"SIMCEPImages_A01_C1_F1_s01_w1.TIF","SIMCEPImages_A01_C1_F1_s01_w2.TIF",0.661762,0.976593,0.232382,-0.00241348,0.886844,-0.0025706,0.85098,0.988879,0.648127,0.284132,0.949751,-0.00786516,0.00256372,0.352415,-2.32509,-2.50297,0.19445,0.143283,"1","1"
1,"SIMCEPImages_A01_C1_F1_s13_w1.TIF","SIMCEPImages_A01_C1_F1_s13_w2.TIF",0.681422,0.977779,0.307351,-0.000629947,0.893395,0,0.90067,0.99054,0.767142,0.415752,0.961732,0,0.00412728,0.367809,-2.44386,-2.53162,0.160482,0.148002,"1","1"
1,"SIMCEPImages_A01_C1_F1_s16_w1.TIF","SIMCEPImages_A01_C1_F1_s16_w2.TIF",0.679091,0.974372,0.298973,-0.00263231,0.886075,-0.00280372,0.858748,0.989288,0.653359,0.272899,0.952379,-0.0108018,0.00243128,0.419868,-2.25591,-2.82197,0.200346,0.147562,"1","1"
1,"SIMCEPImages_A01_C1_F1_s25_w1.TIF","SIMCEPImages_A01_C1_F1_s25_w2.TIF",0.648012,0.973732,0.240582,-0.00258288,0.878438,-0.00275106,0.843428,0.986952,0.649906,0.27542,0.943093,-0.00915149,0.00245098,0.277601,-2.28711,-2.62683,0.199263,0.161434,"1","1"
1,"SIMCEPImages_A01_C1_F1_s10_w1.TIF","SIMCEPImages_A01_C1_F1_s10_w2.TIF",0.658065,0.975113,0.231741,-0.00250833,0.883253,-0.00267164,0.829696,0.986138,0.610144,0.182954,0.939532,-0.0102649,0.00253513,0.329034,-2.32194,-2.75325,0.196255,0.154948,"1","1"
1,"SIMCEPImages_A01_C1_F1_s08_w1.TIF","SIMCEPImages_A01_C1_F1_s08_w2.TIF",0.643618,0.976229,0.193591,-0.00249761,0.885211,-0.00266023,0.834476,0.987795,0.600965,0.194607,0.944151,-0.00924906,0.00261017,0.321247,-2.40103,-2.65844,0.192832,0.152548,"1","1"
1,"SIMCEPImages_A01_C1_F1_s17_w1.TIF","SIMCEPImages_A01_C1_F1_s17_w2.TIF",0.635705,0.97207,0.266644,-0.00248515,0.869598,-0.00264695,0.822658,0.986249,0.618242,0.2782,0.937851,-0.0104416,0.00222588,0.288896,-2.16591,-2.69409,0.207095,0.161319,"1","1"
8,"SIMCEPImages_A03_C10_F1_s06_w1.TIF","SIMCEPImages_A03_C10_F1_s06_w2.TIF",0.636938,0.968421,0.228168,0.0370887,0.862945,0.0582551,0.832361,0.983829,0.628372,0.307973,0.934983,0.107662,0.00806188,0.502426,-1.9479,-2.30269,0.19727,0.306049,"10","1"
1,"SIMCEPImages_A03_C10_F1_s05_w1.TIF","SIMCEPImages_A03_C10_F1_s05_w2.TIF",0.635107,0.967521,0.246193,-0.0218059,0.859409,-0.00226955,0.819262,0.98352,0.598463,0.211499,0.93134,0.0119245,0.007878,0.473817,-2.04639,-2.39427,0.204621,0.320745,"10","1"
9,"SIMCEPImages_A03_C10_F1_s03_w1.TIF","SIMCEPImages_A03_C10_F1_s03_w2.TIF",0.662179,0.969612,0.242665,-0.01811,0.873364,0.141672,0.828194,0.982792,0.628136,0.310606,0.932825,0.197454,0.00773559,0.498477,-2.00988,-2.32212,0.198593,0.31274,"10","1"
8,"SIMCEPImages_A03_C10_F1_s04_w1.TIF","SIMCEPImages_A03_C10_F1_s04_w2.TIF",0.622434,0.962914,0.225613,0.000104817,0.848488,0.0670022,0.810942,0.978089,0.603436,0.249708,0.919775,0.000590775,0.00835553,0.493743,-1.81316,-2.11495,0.197804,0.319753,"10","1"
10,"SIMCEPImages_A03_C10_F1_s02_w1.TIF","SIMCEPImages_A03_C10_F1_s02_w2.TIF",0.662097,0.971818,0.257773,-0.0232824,0.878099,-0.0221683,0.826427,0.985386,0.610596,0.23718,0.937534,-0.0814574,0.00709711,0.471419,-2.25204,-2.62918,0.210377,0.347608,"10","1"
6,"SIMCEPImages_A03_C10_F1_s01_w1.TIF","SIMCEPImages_A03_C10_F1_s01_w2.TIF",0.644233,0.970867,0.227443,0.0365452,0.869637,-0.0198718,0.815791,0.984007,0.591568,0.222948,0.931398,-0.00511946,0.00769534,0.496972,-2.00009,-2.42608,0.203575,0.324831,"10","1"
3,"SIMCEPImages_A03_C10_F1_s24_w1.TIF","SIMCEPImages_A03_C10_F1_s24_w2.TIF",0.650057,0.970274,0.246361,-0.021304,0.869896,0.00668685,0.813093,0.981649,0.59549,0.234883,0.926837,0.013064,0.00793602,0.465474,-2.09398,-2.32085,0.203236,0.332366,"10","1"
8,"SIMCEPImages_A03_C10_F1_s10_w1.TIF","SIMCEPImages_A03_C10_F1_s10_w2.TIF",0.640176,0.965868,0.263352,0.0316895,0.856999,0.00867368,0.817756,0.980752,0.619758,0.305787,0.925976,0.0127674,0.00781512,0.491612,-1.93622,-2.26995,0.202015,0.333005,"10","1"
2,"SIMCEPImages_A03_C10_F1_s20_w1.TIF","SIMCEPImages_A03_C10_F1_s20_w2.TIF",0.646464,0.967948,0.24568,-0.0222182,0.864244,-0.0227634,0.8079,0.98214,0.575088,0.161248,0.925662,-0.0712875,0.00786144,0.487973,-2.0048,-2.32172,0.202949,0.334806,"10","1"
10,"SIMCEPImages_A03_C10_F1_s15_w1.TIF","SIMCEPImages_A03_C10_F1_s15_w2.TIF",0.650965,0.971354,0.225221,-3.24881e-06,0.874857,0.157349,0.822721,0.984389,0.612275,0.286942,0.933977,0.036983,0.00806609,0.478761,-2.1897,-2.4935,0.20419,0.336533,"10","1"
0,"SIMCEPImages_A03_C10_F1_s18_w1.TIF","SIMCEPImages_A03_C10_F1_s18_w2.TIF",0.669548,0.971,0.281045,0.0514956,0.874933,-0.0107974,0.846186,0.986186,0.655096,0.352655,0.942535,0.0891507,0.00740955,0.472961,-2.13463,-2.41405,0.20736,0.310194,"10","1"
8,"SIMCEPImages_A03_C10_F1_s17_w1.TIF","SIMCEPImages_A03_C10_F1_s17_w2.TIF",0.667688,0.968647,0.282751,0.0383234,0.872093,-0.0147214,0.827558,0.981592,0.634077,0.294895,0.929893,-0.00996757,0.00878465,0.49102,-1.94548,-2.25436,0.196497,0.320177,"10","1"
6,"SIMCEPImages_A03_C10_F1_s19_w1.TIF","SIMCEPImages_A03_C10_F1_s19_w2.TIF",0.636525,0.962866,0.283678,0.104338,0.851156,0.0176869,0.834539,0.981971,0.651348,0.348998,0.931017,0.0867782,0.00818023,0.49701,-1.89686,-2.23415,0.199881,0.310618,"10","1"
4,"SIMCEPImages_A03_C10_F1_s23_w1.TIF","SIMCEPImages_A03_C10_F1_s23_w2.TIF",0.652308,0.969497,0.235172,-0.0212499,0.868433,-0.0203595,0.825612,0.983096,0.607269,0.231852,0.93335,0.049994,0.00860479,0.490114,-2.1217,-2.42417,0.199984,0.32212,"10","1"
5,"SIMCEPImages_A03_C10_F1_s11_w1.TIF","SIMCEPImages_A03_C10_F1_s11_w2.TIF",0.637763,0.965526,0.235764,-0.0232046,0.856543,-0.0253237,0.80552,0.979746,0.583088,0.185345,0.919906,-0.096981,0.00833475,0.473226,-1.88928,-2.16311,0.200286,0.323418,"10","1"
6,"SIMCEPImages_A03_C10_F1_s09_w1.TIF","SIMCEPImages_A03_C10_F1_s09_w2.TIF",0.645245,0.968276,0.249605,-0.0235869,0.862282,0.00595567,0.81538,0.981762,0.60333,0.24408,0.92652,-0.0272546,0.00835333,0.47258,-1.97806,-2.2581,0.200236,0.331863,"10","1"
1,"SIMCEPImages_A03_C10_F1_s12_w1.TIF","SIMCEPImages_A03_C10_F1_s12_w2.TIF",0.698255,0.971619,0.381803,0.166359,0.882663,0.0123771,0.857746,0.986082,0.706424,0.452044,0.944457,0.0868922,0.00756718,0.493877,-2.10036,-2.41718,0.206363,0.314751,"10","1"
9,"SIMCEPImages_A03_C10_F1_s25_w1.TIF","SIMCEPImages_A03_C10_F1_s25_w2.TIF",0.650223,0.970393,0.231361,-0.0173176,0.871272,-0.0183768,0.825723,0.982927,0.597661,0.187752,0.93276,-0.0220378,0.00855418,0.504833,-1.92031,-2.21587,0.193726,0.3015,"10","1"
3,"SIMCEPImages_A03_C10_F1_s22_w1.TIF","SIMCEPImages_A03_C10_F1_s22_w2.TIF",0.640779,0.969221,0.229637,-0.023549,0.866251,-0.00364127,0.824705,0.984595,0.61509,0.256769,0.934115,-0.00182352,0.0078678,0.507338,-2.10552,-2.43045,0.203145,0.329437,"10","1"
9,"SIMCEPImages_A03_C10_F1_s13_w1.TIF","SIMCEPImages_A03_C10_F1_s13_w2.TIF",0.666522,0.971007,0.324728,0.0865644,0.874239,-0.0250766,0.834568,0.98497,0.634333,0.318313,0.937783,-0.00633176,0.00833771,0.510492,-2.13091,-2.45651,0.203225,0.318113,"10","1"
5,"SIMCEPImages_A03_C10_F1_s07_w1.TIF","SIMCEPImages_A03_C10_F1_s07_w2.TIF",0.638622,0.968956,0.220375,-0.0225576,0.865658,-0.0216775,0.806091,0.981789,0.591352,0.21579,0.924374,-0.0423854,0.00813769,0.473405,-2.05762,-2.32841,0.202189,0.335459,"10","1"
3,"SIMCEPImages_A03_C10_F1_s14_w1.TIF","SIMCEPImages_A03_C10_F1_s14_w2.TIF",0.634996,0.965636,0.244325,-0.00752535,0.857326,-0.0210334,0.826183,0.982439,0.622329,0.26039,0.930848,-0.0490632,0.00738303,0.486552,-1.99071,-2.31775,0.204774,0.320227,"10","1"
7,"SIMCEPImages_A03_C10_F1_s16_w1.TIF","SIMCEPImages_A03_C10_F1_s16_w2.TIF",0.617847,0.960653,0.218487,-0.0220547,0.841806,-0.0220988,0.798663,0.976805,0.581729,0.17832,0.91294,-0.0500936,0.00869685,0.509942,-1.76513,-2.07741,0.198099,0.324084,"10","1"
4,"SIMCEPImages_A03_C10_F1_s21_w1.TIF","SIMCEPImages_A03_C10_F1_s21_w2.TIF",0.650276,0.966937,0.276972,0.0240414,0.861624,0.0092505,0.808959,0.978986,0.60968,0.261372,0.920486,0.0372274,0.00877113,0.466411,-1.94949,-2.20053,0.1993,0.315877,"10","1"
8,"SIMCEPImages_A03_C10_F1_s08_w1.TIF","SIMCEPImages_A03_C10_F1_s08_w2.TIF",0.644689,0.966517,0.234276,-0.0203067,0.860717,-0.017211,0.81442,0.980714,0.605229,0.261367,0.925009,-0.00151772,0.00852198,0.471965,-1.90236,-2.21159,0.197221,0.321917,"10","1"
94,"SIMCEPImages_A24_C100_F1_s19_w1.TIF","SIMCEPImages_A24_C100_F1_s19_w2.TIF",0.5713,0.958083,0.149098,-0.0272074,0.825959,-0.0212245,0.712824,0.966263,0.449522,0.117205,0.875284,0.015894,0.00805984,0.202051,-1.67955,-1.92188,0.560952,1.38774,"100","1"
34,"SIMCEPImages_A24_C100_F1_s15_w1.TIF","SIMCEPImages_A24_C100_F1_s15_w2.TIF",0.610926,0.966503,0.200223,0.0370533,0.855847,0.0211313,0.763592,0.975998,0.500913,0.146732,0.907796,0.00116633,0.00772999,0.205466,-2.0897,-2.2962,0.5769,1.34135,"100","1"
95,"SIMCEPImages_A24_C100_F1_s03_w1.TIF","SIMCEPImages_A24_C100_F1_s03_w2.TIF",0.5877,0.963225,0.135357,-0.0475599,0.843342,-0.0323098,0.747317,0.973122,0.486079,0.12669,0.898111,-0.0232318,0.00778954,0.1953,-1.86821,-2.11807,0.571303,1.40924,"100","1"
40,"SIMCEPImages_A24_C100_F1_s11_w1.TIF","SIMCEPImages_A24_C100_F1_s11_w2.TIF",0.609047,0.967899,0.177854,0.0428093,0.859279,-0.00629342,0.755305,0.975786,0.512608,0.220971,0.90524,0.0401037,0.00789468,0.191541,-2.19377,-2.29359,0.580307,1.4244,"100","1"
95,"SIMCEPImages_A24_C100_F1_s12_w1.TIF","SIMCEPImages_A24_C100_F1_s12_w2.TIF",0.561381,0.950148,0.153041,-0.00451444,0.810961,-0.0007252,0.703292,0.956298,0.455675,0.0992748,0.859583,-0.0248199,0.0085192,0.206648,-1.58217,-1.80189,0.554792,1.35659,"100","1"
95,"SIMCEPImages_A24_C100_F1_s23_w1.TIF","SIMCEPImages_A24_C100_F1_s23_w2.TIF",0.606125,0.963799,0.204037,0.0574698,0.847282,0.0288176,0.750695,0.972521,0.507067,0.197099,0.896883,0.0468473,0.0081053,0.207009,-1.8958,-2.06869,0.563821,1.34507,"100","1"
94,"SIMCEPImages_A24_C100_F1_s10_w1.TIF","SIMCEPImages_A24_C100_F1_s10_w2.TIF",0.579261,0.95746,0.184689,0.0315026,0.823639,0.00411081,0.729909,0.967169,0.483993,0.14985,0.880787,0.0521574,0.00827856,0.195354,-1.66652,-1.92841,0.565038,1.4142,"100","1"
46,"SIMCEPImages_A24_C100_F1_s16_w1.TIF","SIMCEPImages_A24_C100_F1_s16_w2.TIF",0.599132,0.965663,0.167038,-0.0276863,0.85055,-0.00345,0.765077,0.97595,0.513951,0.16592,0.907395,-0.0403553,0.0077019,0.188215,-2.01329,-2.24848,0.574478,1.43617,"100","1"
97,"SIMCEPImages_A24_C100_F1_s09_w1.TIF","SIMCEPImages_A24_C100_F1_s09_w2.TIF",0.583762,0.959104,0.171422,-0.0316861,0.829985,0.00808899,0.717808,0.965478,0.462999,0.138168,0.874564,0.00782123,0.00858826,0.194515,-1.69805,-1.89935,0.559978,1.42301,"100","1"
87,"SIMCEPImages_A24_C100_F1_s04_w1.TIF","SIMCEPImages_A24_C100_F1_s04_w2.TIF",0.605505,0.964718,0.191527,-0.00357812,0.85082,0.0272083,0.76241,0.97311,0.529084,0.215045,0.902484,0.0629372,0.00776187,0.197104,-1.99257,-2.1822,0.571676,1.3971,"100","1"
29,"SIMCEPImages_A24_C100_F1_s22_w1.TIF","SIMCEPImages_A24_C100_F1_s22_w2.TIF",0.60475,0.966714,0.176855,0.0736744,0.855537,-0.0125142,0.761353,0.975387,0.514735,0.201857,0.906012,0.030117,0.0078812,0.193477,-2.07364,-2.25607,0.570486,1.40145,"100","1"
29,"SIMCEPImages_A24_C100_F1_s17_w1.TIF","SIMCEPImages_A24_C100_F1_s17_w2.TIF",0.608391,0.967682,0.167621,0.032132,0.859541,-0.0178728,0.797647,0.979066,0.565422,0.236809,0.922355,0.0374125,0.0077337,0.203861,-2.19539,-2.44765,0.583047,1.34487,"100","1"
96,"SIMCEPImages_A24_C100_F1_s21_w1.TIF","SIMCEPImages_A24_C100_F1_s21_w2.TIF",0.581903,0.958576,0.176197,-0.00730967,0.82809,-0.00664728,0.707619,0.964771,0.443674,0.110006,0.87085,0.0518952,0.00853404,0.203046,-1.66904,-1.88894,0.556921,1.37252,"100","1"
27,"SIMCEPImages_A24_C100_F1_s18_w1.TIF","SIMCEPImages_A24_C100_F1_s18_w2.TIF",0.617142,0.968421,0.196009,0.0154125,0.862731,-0.041858,0.757289,0.977307,0.463225,0.0513471,0.910481,-0.0741458,0.00753854,0.200681,-2.231,-2.4113,0.585271,1.37106,"100","1"
94,"SIMCEPImages_A24_C100_F1_s01_w1.TIF","SIMCEPImages_A24_C100_F1_s01_w2.TIF",0.583963,0.961257,0.158336,-0.0230274,0.835763,0.0395988,0.725028,0.967902,0.480588,0.195867,0.881824,0.0313782,0.00808161,0.184669,-1.80685,-2.00876,0.570985,1.45749,"100","1"
92,"SIMCEPImages_A24_C100_F1_s06_w1.TIF","SIMCEPImages_A24_C100_F1_s06_w2.TIF",0.566914,0.957321,0.140818,-0.00253689,0.822336,-0.0219637,0.741932,0.968721,0.504438,0.170391,0.886921,-0.0129536,0.00829312,0.210956,-1.73916,-1.9657,0.552812,1.33536,"100","1"
91,"SIMCEPImages_A24_C100_F1_s07_w1.TIF","SIMCEPImages_A24_C100_F1_s07_w2.TIF",0.571483,0.956404,0.141286,-0.0206553,0.8245,0.0842603,0.727329,0.964476,0.478989,0.171692,0.877777,0.120931,0.00844807,0.207083,-1.68159,-1.92933,0.553079,1.35334,"100","1"
94,"SIMCEPImages_A24_C100_F1_s20_w1.TIF","SIMCEPImages_A24_C100_F1_s20_w2.TIF",0.59265,0.961906,0.192823,0.106702,0.838711,0.0314985,0.771504,0.973934,0.56751,0.295234,0.90297,0.127082,0.00812675,0.221021,-1.84446,-2.10444,0.56298,1.30896,"100","1"
95,"SIMCEPImages_A24_C100_F1_s24_w1.TIF","SIMCEPImages_A24_C100_F1_s24_w2.TIF",0.583209,0.963217,0.149715,-0.0575532,0.840743,0.0202842,0.709595,0.9691,0.43134,0.096145,0.880923,-0.00793106,0.00800491,0.189483,-1.81065,-2.05065,0.5638,1.43955,"100","1"
94,"SIMCEPImages_A24_C100_F1_s05_w1.TIF","SIMCEPImages_A24_C100_F1_s05_w2.TIF",0.603681,0.966305,0.165024,-0.00328998,0.854686,0.0372697,0.746895,0.974797,0.481932,0.166572,0.902392,0.114133,0.00772921,0.190739,-2.09103,-2.28576,0.577781,1.44308,"100","1"
93,"SIMCEPImages_A24_C100_F1_s13_w1.TIF","SIMCEPImages_A24_C100_F1_s13_w2.TIF",0.563496,0.951273,0.161013,0.0516616,0.811059,0.012952,0.691032,0.957567,0.427128,0.119154,0.857177,0.0872998,0.00849881,0.195863,-1.55631,-1.79524,0.552416,1.42307,"100","1"
94,"SIMCEPImages_A24_C100_F1_s14_w1.TIF","SIMCEPImages_A24_C100_F1_s14_w2.TIF",0.592194,0.96339,0.173701,0.0364936,0.845137,0.0317874,0.771726,0.975188,0.558421,0.27018,0.907308,0.0900131,0.00767243,0.203026,-1.9303,-2.18925,0.571812,1.36761,"100","1"
96,"SIMCEPImages_A24_C100_F1_s25_w1.TIF","SIMCEPImages_A24_C100_F1_s25_w2.TIF",0.56424,0.953037,0.167625,-0.00765393,0.812947,-0.0487054,0.708218,0.960163,0.450119,0.131791,0.864294,0.0109229,0.00844141,0.20018,-1.58368,-1.82566,0.556905,1.39151,"100","1"
42,"SIMCEPImages_A24_C100_F1_s02_w1.TIF","SIMCEPImages_A24_C100_F1_s02_w2.TIF",0.610682,0.968261,0.168527,-0.0137155,0.861358,-0.00845208,0.76042,0.976433,0.49519,0.145067,0.909227,0.0830119,0.00751023,0.194416,-2.22148,-2.41174,0.592249,1.39462,"100","1"
92,"SIMCEPImages_A24_C100_F1_s08_w1.TIF","SIMCEPImages_A24_C100_F1_s08_w2.TIF",0.583743,0.95628,0.189347,0.0182813,0.824596,-0.0174075,0.75623,0.966586,0.542758,0.246937,0.886983,0.0580498,0.00876771,0.225723,-1.69523,-1.91131,0.54787,1.27003,"100","1"
13,"SIMCEPImages_A04_C14_F1_s10_w1.TIF","SIMCEPImages_A04_C14_F1_s10_w2.TIF",0.66622,0.970332,0.282392,0.034643,0.872966,-0.0313218,0.821867,0.982859,0.61085,0.258479,0.931125,-0.0617725,0.00788567,0.457032,-2.07012,-2.35785,0.227273,0.384613,"14","1"
7,"SIMCEPImages_A04_C14_F1_s25_w1.TIF","SIMCEPImages_A04_C14_F1_s25_w2.TIF",0.619854,0.960903,0.225895,0.0135315,0.844905,-0.0293131,0.809008,0.976675,0.606042,0.277446,0.917417,0.0426827,0.00907618,0.489067,-1.81926,-2.1488,0.217891,0.360019,"14","1"
14,"SIMCEPImages_A04_C14_F1_s15_w1.TIF","SIMCEPImages_A04_C14_F1_s15_w2.TIF",0.642726,0.971624,0.222872,-0.0307817,0.872624,-0.0271194,0.820254,0.9845,0.595565,0.204846,0.934211,-0.0564732,0.00777316,0.450307,-2.23535,-2.56048,0.231485,0.3999,"14","1"
14,"SIMCEPImages_A04_C14_F1_s11_w1.TIF","SIMCEPImages_A04_C14_F1_s11_w2.TIF",0.632607,0.965793,0.246181,0.0372176,0.854953,-0.0168555,0.844982,0.983768,0.662424,0.328964,0.937645,-0.000228881,0.00847346,0.481768,-1.93634,-2.30064,0.225138,0.398281,"14","1"
14,"SIMCEPImages_A04_C14_F1_s16_w1.TIF","SIMCEPImages_A04_C14_F1_s16_w2.TIF",0.628592,0.965124,0.230064,-0.0123353,0.853656,0.0231788,0.809795,0.980121,0.588173,0.216414,0.923305,0.0381992,0.00890935,0.493105,-1.87421,-2.17718,0.221574,0.381898,"14","1"
